lat,lon,bio1_mean,bio2_mean,bio3_mean,bio4_mean,bio5_mean,bio6_mean,bio7_mean,bio8_mean,bio9_mean,bio10_mean,bio11_mean,bio12_mean,bio13_mean,bio14_mean,bio15_mean,bio16_mean,bio17_mean,bio18_mean,bio19_mean,tmin1_mean,tmin2_mean,tmin3_mean,tmin4_mean,tmin5_mean,tmin6_mean,tmin7_mean,tmin8_mean,tmin9_mean,tmin10_mean,tmin11_mean,tmin12_mean,tmax1_mean,tmax2_mean,tmax3_mean,tmax4_mean,tmax5_mean,tmax6_mean,tmax7_mean,tmax8_mean,tmax9_mean,tmax10_mean,tmax11_mean,tmax12_mean,alt_mean,prec1_mean,prec2_mean,prec3_mean,prec4_mean,prec5_mean,prec6_mean,prec7_mean,prec8_mean,prec9_mean,prec10_mean,prec11_mean,prec12_mean
35.25,23.75,171.83332824707,68.5,31.3333339691162,5464.33349609375,287.833343505859,71.8333358764648,215.83332824707,106.666664123535,243,243,105.833335876465,743.5,144,2.5,83.3333358764648,400.333343505859,11.6666669845581,11.6666669845581,350.666656494141,73.6666641235352,71.8333358764648,83.6666641235352,108.5,144.66667175293,189.16667175293,209,212.66667175293,188,155.83332824707,123.5,90.8333358764648,127.833335876465,130.66667175293,147.33332824707,182.33332824707,227.16667175293,271.833343505859,287.5,287.5,260.333343505859,222,181.83332824707,144.83332824707,559,144,120,86.3333358764648,39,13.3333330154419,6,2.83333325386047,2.5,16.5,78.6666641235352,98.1666641235352,135.83332824707
35.25,24.25,177.285720825195,70.7142868041992,31.8571434020996,5484.28564453125,295,76.5714263916016,218.571426391602,112,249.428573608398,249.428573608398,111.428573608398,863.142883300781,167.142852783203,2.71428561210632,83.5714263916016,469.428558349609,15.7142858505249,15.7142858505249,421.142852783203,77.4285736083984,76.5714263916016,87.5714263916016,114.571426391602,149.285720825195,196.285720825195,213.285720825195,217.285720825195,191,159.428573608398,126.857139587402,95.4285736083984,135.571426391602,137.428573608398,153.571426391602,190.857147216797,233.714279174805,280.428558349609,294.571441650391,294.571441650391,266.571441650391,227.571426391602,186.428573608398,150.428573608398,479.571428571429,167.142852783203,147.857147216797,105.857139587402,43.5714302062988,15.5714282989502,9.2857141494751,3.57142853736877,2.71428561210632,18.1428565979004,93,102,154.285720825195
35.25,24.75,179,65.7777786254883,30.6666660308838,5413.22216796875,291.666656494141,80.2222213745117,211,115,250.444442749023,250.444442749023,113.555557250977,881.333312988281,175.66667175293,2.11111116409302,83,477.111114501953,17.1111106872559,17.1111106872559,428.333343505859,80.8888854980469,80.2222213745117,90.6666641235352,118.222221374512,151,200.888885498047,217.444442749023,224,195.33332824707,163.33332824707,129.888885498047,100.555557250977,137.222229003906,137.777770996094,153.33332824707,191.555557250977,229.777770996094,277.888885498047,290.222229003906,291.666656494141,263.666656494141,228.555557250977,188.555557250977,152.888885498047,465.111111111111,175.66667175293,143.66667175293,109.111114501953,42.5555572509766,17.1111106872559,11.4444446563721,3.88888883590698,2.11111116409302,19.7777786254883,99.2222213745117,99.5555572509766,157.888885498047
35.25,25.25,188.888885498047,59.3333320617676,28.8888893127441,5288.111328125,294.888885498047,93.2222213745117,201.111114501953,127.111114501953,258.777770996094,258.777770996094,124.222221374512,657.666687011719,131.222229003906,1.11111116409302,82.6666641235352,351.888885498047,9.88888931274414,9.88888931274414,308.444458007812,94.3333358764648,93.2222213745117,102.777778625488,130.888885498047,161.66667175293,214.888885498047,230.888885498047,239.777770996094,209.222229003906,175.66667175293,141.888885498047,115.222221374512,147.66667175293,147.111114501953,161,199.111114501953,231.444442749023,281.555541992188,291.222229003906,294.888885498047,266.888885498047,237.555557250977,197.888885498047,164.444442749023,294.777777777778,131.222229003906,99.7777786254883,77.2222213745117,31.8888893127441,13.6666669845581,6.44444465637207,2.11111116409302,1.11111116409302,16.4444446563721,77,79.7777786254883,120.555557250977
35.25,25.75,187.75,58.25,28.75,5222,291.875,92.375,199.375,126.75,255.875,255.875,123.75,593.625,123.875,1.25,85.25,324.25,7,7,279.125,94.125,92.375,101.625,130.25,161,212.125,229.5,239.25,210.25,176.75,142.125,114.875,147.625,146.5,160.125,197.25,228.25,276.125,287.125,291.875,266.5,237.875,199,165.25,321.75,123.875,86.375,68.875,28.75,11.875,4.25,1.75,1.25,13.625,64.75,74.5,114
35.25,26.25,196,57.6666679382324,29,5143.66650390625,297.666656494141,100.833335876465,197,136,262.5,262.5,132.83332824707,577.333312988281,124,0.5,87.5,321.333343505859,4.5,4.5,278.833343505859,102.833335876465,100.833335876465,110,138,169,219.66667175293,236.83332824707,247.83332824707,219.66667175293,185,150.83332824707,124,157.16667175293,156,169,204.33332824707,234.33332824707,281.166656494141,292.5,297.666656494141,275,246,209,175.5,181.666666666667,124,86.3333358764648,68.1666641235352,27,10,2.83333325386047,0.666666686534882,1,12,59.8333320617676,74,111.166664123535
35.25,26.75,195,61,29,5254,300,97,204,133,262,262,130,655,151,1,93,385,4,13,322,99,97,107,135,168,216,234,245,220,183,148,119,155,154,168,203,236,281,295,300,279,246,209,175,216,151,98,73,26,11,2,1,1,11,59,87,136
35.25,27.25,199,62,30,5265.5,306,100.5,205,138,267,267,135,671,158.5,1,96,400.5,3,12,329.5,103,100.5,112,139,173,220,238,250,225,188,151,123,160,159.5,174,208,241,286,300,306,285,251,213.5,180,130,158.5,98,73,23.5,11,2,1,1,11,58,91.5,143.5
35.75,14.25,196.5,73.5,33,5257,321,101.5,220,182.5,250.5,267,135,516,102.5,0,83,273,9,38,172,101.5,101.5,108.5,124.5,158.5,197.5,223,232.5,215,183.5,149.5,120,160.5,163.5,174.5,197,242,287,319.5,321,293,254,212,176.5,95.9999999999998,87,49,35.5,24.5,6,3,0,6,32.5,96,74,102.5
35.75,14.75,200,75,34,5225.5,324.5,104.5,220,186.5,241,270.5,139,518.5,103.5,0,83.5,275,9,37.5,173.5,104.5,104.5,112,128,161,200,225.5,235.5,218,186.5,153,122.5,165,168,179,201,246,290.5,323,324.5,296.5,258,217,181,32.5,87.5,50,36,23.5,6,3,0,6,31.5,96.5,75,103.5
