lat,lon,bio1_mean,bio2_mean,bio3_mean,bio4_mean,bio5_mean,bio6_mean,bio7_mean,bio8_mean,bio9_mean,bio10_mean,bio11_mean,bio12_mean,bio13_mean,bio14_mean,bio15_mean,bio16_mean,bio17_mean,bio18_mean,bio19_mean,tmin1_mean,tmin2_mean,tmin3_mean,tmin4_mean,tmin5_mean,tmin6_mean,tmin7_mean,tmin8_mean,tmin9_mean,tmin10_mean,tmin11_mean,tmin12_mean,tmax1_mean,tmax2_mean,tmax3_mean,tmax4_mean,tmax5_mean,tmax6_mean,tmax7_mean,tmax8_mean,tmax9_mean,tmax10_mean,tmax11_mean,tmax12_mean,alt_mean,prec1_mean,prec2_mean,prec3_mean,prec4_mean,prec5_mean,prec6_mean,prec7_mean,prec8_mean,prec9_mean,prec10_mean,prec11_mean,prec12_mean
35.25,23.75,185.16667175293,68.1666641235352,29.5,5822.5,306.5,80.6666641235352,225.83332824707,133.33332824707,262.166656494141,262.166656494141,115,690,155.33332824707,2.5,84.3333358764648,358,11.6666669845581,11.6666669845581,339.333343505859,80.6666641235352,81.8333358764648,94.8333358764648,120.5,160.5,210.5,228,230,203.16667175293,166.83332824707,133.5,103.833335876465,135.16667175293,140.66667175293,157.33332824707,194.16667175293,242.5,293.833343505859,306.5,304.833343505859,275.5,233,191.83332824707,155.83332824707,559,155.33332824707,82.5,101.333335876465,35.3333320617676,17.5,6,2.83333325386047,2.5,12.8333330154419,70.6666641235352,90,112.666664123535
35.25,24.25,190.428573608398,70.2857131958008,30.1428565979004,5818.85693359375,313.142852783203,84.4285736083984,229.142852783203,126.714286804199,268,268,120.571426391602,796.571411132812,180.571426391602,2.71428561210632,84.1428604125977,405.285705566406,15.1428575515747,15.1428575515747,400.857147216797,84.4285736083984,86.5714263916016,99,126,164.142852783203,216.428573608398,231.857147216797,234.142852783203,205.571426391602,170.285720825195,136.857147216797,108.142860412598,142.571426391602,147.428573608398,163.428573608398,201.857147216797,248.142852783203,300.714294433594,313.142852783203,311.285705566406,281.714294433594,238.428573608398,196.857147216797,161.428573608398,479.571428571429,180.571426391602,97.8571395874023,122.285713195801,41.4285697937012,20.8571434020996,8.7142858505249,3.57142853736877,2.71428561210632,14.8571424484253,83.5714263916016,94.1428604125977,125.714286804199
35.25,24.75,191.555557250977,65.2222213745117,29.2222213745117,5714.888671875,308.222229003906,87.8888854980469,220.111114501953,131.888885498047,268,268,122.555557250977,811.555541992188,189,2.11111116409302,84.2222213745117,409.555541992188,15.777777671814,15.777777671814,406.333343505859,87.8888854980469,90.2222213745117,101.888885498047,129.555557250977,165.444442749023,220.33332824707,235.444442749023,239.777770996094,209.111114501953,173.33332824707,139.888885498047,113.555557250977,144.222229003906,147.777770996094,162.33332824707,201.777770996094,243.111114501953,297.333343505859,308.222229003906,307.111114501953,277.666656494141,238.444442749023,198.111114501953,163.888885498047,465.111111111111,189,92.4444427490234,124.777778625488,42.3333320617676,23.4444446563721,10,3.88888883590698,2.11111116409302,16.6666660308838,88.7777786254883,92.4444427490234,126.222221374512
35.25,25.25,201.33332824707,58.5555572509766,27.5555553436279,5579.5556640625,310.222229003906,101.333335876465,208.555557250977,153.33332824707,276.333343505859,276.333343505859,133.444442749023,605.888916015625,141.33332824707,1.11111116409302,83.1111145019531,310.888885498047,9,9,292.111114501953,101.333335876465,103.222221374512,114,142.444442749023,176.444442749023,233.777770996094,248.888885498047,255.444442749023,222.555557250977,185.66667175293,151.777770996094,128.222229003906,154.66667175293,157.111114501953,170.222229003906,209.111114501953,245,300.666656494141,309.333343505859,310.222229003906,280.555541992188,247.444442749023,207.777770996094,175.444442749023,294.777777777778,141.33332824707,62.6666679382324,88.3333358764648,33.4444427490234,19.1111106872559,5.55555534362793,2.11111116409302,1.11111116409302,14.3333330154419,68.2222213745117,74.6666641235352,95.2222213745117
35.25,25.75,200.75,57.75,27.625,5521.875,307.625,101.125,206.25,153.5,273.875,273.875,132.875,549.125,133.125,1.25,85.875,293.5,6.75,6.75,265.375,101.125,102.375,113.625,141.875,176,231.125,247.875,255.375,223.875,186.75,152.125,127.875,154.625,156.5,170,207.25,242.5,296,306.125,307.625,280.25,247.625,208.75,176.125,321.75,133.125,53.25,79,31.25,16.625,4,1.75,1.25,11.625,57,71.5,88.75
35.25,26.25,209,57.3333320617676,27.8333339691162,5462.66650390625,313.833343505859,109.833335876465,204,162.83332824707,281.166656494141,281.166656494141,142,533.166687011719,132.33332824707,0.5,88.1666641235352,290.333343505859,4.5,4.5,263.166656494141,109.833335876465,110.833335876465,122,149.83332824707,184,238.83332824707,255.83332824707,264.5,234.16667175293,196,160.83332824707,136,164.16667175293,165.16667175293,179.83332824707,214.5,249.33332824707,301.166656494141,311.833343505859,313.833343505859,289,256.333343505859,219,186.5,181.666666666667,132.33332824707,52.5,78.3333358764648,30.5,14.3333330154419,2.83333325386047,0.666666686534882,1,10,51.8333320617676,73,85.3333358764648
35.25,26.75,208,61,28,5636,318,106,212,160,282,282,139,600,159,1,94,351,4,4,299,106,107,119,147,183,237,255,264,235,193,157,131,162,163,179,214,252,302,316,318,294,256,219,185,216,159,58,82,30,16,2,1,1,9,50,88,104
35.25,27.25,213,61,28,5666,325,110,214,164,287,287,144,612.5,165.5,1,96.5,368.5,3,3,304,110,110.5,123,151,189,241,259,269,240.5,198,160,135,167,168.5,185,219,257,307,321,325,300,261,223.5,190,130,165.5,58.5,80,28.5,15,2,1,1,9,50,93.5,109.5
35.75,14.25,211,74.5,31,5769,342.5,108.5,234,193,286,288.5,144.5,466,91.5,0,81,252,7,33.5,151.5,108.5,112.5,118.5,136.5,172.5,220,245,252.5,235,196.5,158.5,129.5,167,173.5,184.5,211,258,312.5,342.5,342,313,266.5,222,185.5,95.9999999999998,65.5,42,43,19.5,8,2,0,5,29,91.5,81,78.5
35.75,14.75,214.5,75.5,31.5,5738.5,346,111.5,234.5,197,289,291.5,148,469,92.5,0,81,253.5,7,34,152.5,111.5,115.5,122,140,175,223,247.5,255.5,238,199.5,162,132,171.5,178,189,215,262,315.5,346,345.5,317,271,227,190,32.5,66,43,44,19.5,8,2,0,5,29,92.5,82.5,79
