"lat","lon","Nucifraga_caryocatactes","Merops_apiaster","Grus_grus","Coenagrion_mercuriale","Ophiogomphus_cecilia","Phaneroptera_falcata","Pinus_cembra","Corylus_avellana"
35.25,23.75,0,0,0,0,0,0,0,1
35.25,24.25,0,1,0,0,0,0,0,1
35.25,24.75,0,0,0,0,0,0,0,1
35.25,25.25,0,1,0,0,0,0,0,0
35.25,25.75,0,0,0,0,0,0,0,0
35.25,26.25,0,0,0,0,0,0,0,0
35.25,26.75,0,0,0,0,0,0,0,0
35.25,27.25,0,1,0,0,0,0,0,0
35.75,14.25,0,0,0,0,0,0,0,0
35.75,14.75,0,0,0,0,0,0,0,0
35.75,23.75,0,0,0,0,0,0,0,0
35.75,24.25,0,0,0,0,0,0,0,0
35.75,27.25,0,0,0,0,0,0,0,0
35.75,27.75,0,1,0,0,0,0,0,0
36.25,-6.25,0,0,0,1,0,0,0,0
36.25,-5.75,0,1,0,1,0,0,0,0
36.25,-5.25,0,0,0,1,0,0,0,0
36.25,-4.75,0,0,0,1,0,0,0,0
36.25,14.25,0,0,0,0,0,0,0,0
36.25,22.75,0,0,0,0,0,0,0,0
36.25,23.25,0,0,0,0,0,0,0,0
36.25,25.25,0,0,0,0,0,0,0,0
36.25,25.75,0,0,0,0,0,0,0,0
36.25,27.25,0,0,0,0,0,0,0,0
36.25,27.75,0,0,0,0,0,0,0,0
36.25,28.25,0,0,0,0,0,0,0,0
36.75,-7.75,0,0,0,1,0,0,0,0
36.75,-6.75,0,0,0,1,0,0,0,0
36.75,-6.25,0,1,0,1,0,0,0,0
36.75,-5.75,0,1,0,1,0,0,0,0
36.75,-5.25,0,0,0,1,0,0,0,0
36.75,-4.75,0,1,0,1,0,0,0,0
36.75,-4.25,0,1,0,1,0,0,0,0
36.75,-3.75,0,1,0,1,0,0,0,0
36.75,-3.25,0,1,0,1,0,0,0,0
36.75,-2.75,0,1,0,1,0,0,0,0
36.75,-2.25,0,0,0,1,0,0,0,0
36.75,-1.75,0,0,0,1,0,0,0,0
36.75,11.75,0,0,0,1,0,0,0,0
36.75,12.25,0,0,0,1,0,0,0,0
